Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",SauceBros POS,,,,,,,,2496.0,16.89,,42157.72,348.71,0.0,602.17,41809.01,3326.59,0.0,0.0
"",SauceBros POS,Pizzas,,,,,,,1725.0,22.32,,38505.64,235.42,0.0,586.68,38270.22,3036.33,0.0,0.0
menuItem,SauceBros POS,Pizzas,Korean BBQ,,,Pizza,[],false,84.0,23.79,0.82,1998.08,9.6,0.0,0.0,1988.48,152.79,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Chicken,,,Pizza,[],false,272.0,22.98,0.41,6250.85,70.07,0.0,89.96,6180.78,481.58,0.0,0.0
menuItem,SauceBros POS,Pizzas,Beef Taco Pizza,,,Pizza,[],false,85.0,22.85,0.00,1942.09,13.18,0.0,21.99,1928.91,157.01,0.0,0.0
menuItem,SauceBros POS,Pizzas,Meatlovers Pizza,,,Pizza,[],false,130.0,25.66,0.58,3336.36,34.74,0.0,23.99,3301.62,254.49,0.0,0.0
menuItem,SauceBros POS,Pizzas,Beef Pepperoni,,,Pizza,[],false,215.0,19.68,0.09,4231.07,33.03,0.0,150.91,4198.04,309.39,0.0,0.0
menuItem,SauceBros POS,Pizzas,Harissa Chicken,,,Pizza,[],false,95.0,21.73,0.44,2063.96,24.15,0.0,41.98,2039.81,166.38,0.0,0.0
menuItem,SauceBros POS,Pizzas,Bengali Beef Pesto (Contains Nuts),,,Pizza,[],false,74.0,25.15,0.32,1861.2,4.8,0.0,23.99,1856.4,144.33,0.0,0.0
menuItem,SauceBros POS,Pizzas,Alfredo Chicken,,,Pizza,[],false,39.0,20.22,0.56,788.53,6.0,0.0,0.0,782.53,64.59,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Paneer,,,Pizza,[],false,36.0,21.21,0.00,763.6,0.0,0.0,19.99,763.6,63.06,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Mushroom,,,Pizza,[],false,35.0,19.42,0.00,679.53,0.0,0.0,17.99,679.53,55.97,0.0,0.0
menuItem,SauceBros POS,Pizzas,Garlic Artichoke,,,Pizza,[],false,25.0,20.75,0.00,518.66,0.0,0.0,0.0,518.66,42.81,0.0,0.0
menuItem,SauceBros POS,Pizzas,Garlic Ghee Mushroom,,,Pizza,[],false,40.0,19.46,0.00,778.45,3.6,0.0,0.0,774.85,63.83,0.0,0.0
menuItem,SauceBros POS,Pizzas,Veggie Pizza,,,Pizza,[],false,65.0,19.74,0.38,1283.03,4.6,0.0,17.99,1278.43,103.74,0.0,0.0
menuItem,SauceBros POS,Pizzas,4Cheez with Hot Honey,,,Pizza,[],false,43.0,19.50,0.91,838.43,0.0,0.0,17.99,838.43,69.05,0.0,0.0
menuItem,SauceBros POS,Pizzas,Classic Cheese Pizza,,,Pizza,[],false,137.0,18.17,0.26,2489.32,15.62,0.0,97.92,2473.7,192.37,0.0,0.0
menuItem,SauceBros POS,Pizzas,Alfredo Cheese Pizza,,,Pizza,[],false,14.0,19.27,0.00,269.74,3.4,0.0,0.0,266.34,21.99,0.0,0.0
menuItem,SauceBros POS,Pizzas,Margarita,,,Pizza,[],false,22.0,18.44,0.86,405.71,0.0,0.0,18.99,405.71,33.49,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Balachao,,,Pizza,[],false,18.0,17.55,0.94,315.82,0.0,0.0,16.99,315.82,26.05,0.0,0.0
menuItem,SauceBros POS,Pizzas,Customized Pizza,,,Pizza,[],false,11.0,23.42,2.45,257.59,0.0,0.0,0.0,257.59,21.25,0.0,0.0
menuItem,SauceBros POS,Pizzas,Half & Half,,,Pizza,[],false,285.0,26.08,0.44,7433.62,12.63,0.0,26.0,7420.99,612.16,0.0,0.0
"",SauceBros POS,Pasta,,,,,,,108.0,12.34,,1333.07,16.30,0.0,0.0,1316.77,108.50,0.0,0.0
menuItem,SauceBros POS,Pasta,Alfredo Pasta,,,Pizza,[],false,63.0,12.60,9.99,793.82,3.25,0.0,0.0,790.57,65.15,0.0,0.0
menuItem,SauceBros POS,Pasta,Tomato Basil Pasta,,,Pizza,[],false,26.0,11.60,9.91,301.6,9.81,0.0,0.0,291.79,24.03,0.0,0.0
menuItem,SauceBros POS,Pasta,Naga Habanero Pasta,,,Pizza,[],false,19.0,12.51,9.99,237.65,3.24,0.0,0.0,234.41,19.32,0.0,0.0
"",SauceBros POS,Wraps,,,,,,,158.0,8.08,,1277.37,96.99,0.0,7.99,1180.38,97.47,0.0,0.0
menuItem,SauceBros POS,Wraps,Beef Chopped Cheese,,,Pizza,[],false,55.0,8.10,7.96,445.43,1.6,0.0,7.99,443.83,36.65,0.0,0.0
menuItem,SauceBros POS,Wraps,Chicken Wrap,,,Pizza,[],false,94.0,8.05,7.97,757.04,91.6,0.0,0.0,665.44,54.95,0.0,0.0
menuItem,SauceBros POS,Wraps,Mushroom Wrap,,,Pizza,[],false,4.0,8.74,8.19,34.95,3.79,0.0,0.0,31.16,2.57,0.0,0.0
menuItem,SauceBros POS,Wraps,Paneer Wrap,,,Pizza,[],false,5.0,7.99,7.99,39.95,0.0,0.0,0.0,39.95,3.3,0.0,0.0
"",SauceBros POS,Drinks,,,,,,,364.0,2.36,,860.05,0.0,0.0,7.5,860.05,69.56,0.0,0.0
menuItem,SauceBros POS,Drinks,Soda (Can),,,Pizza,[],false,266.0,2.50,2.50,665.0,0.0,0.0,7.5,665.0,53.68,0.0,0.0
menuItem,SauceBros POS,Drinks,Water (small),,,Pizza,[],false,98.0,1.99,1.99,195.05,0.0,0.0,0.0,195.05,15.88,0.0,0.0
"",SauceBros POS,Side,,,,,,,141.0,1.29,,181.59,0.0,0.0,0.0,181.59,14.73,0.0,0.0
menuItem,SauceBros POS,Side,Hot Honey,,,Pizza,[],false,16.0,1.99,1.99,31.84,0.0,0.0,0.0,31.84,2.56,0.0,0.0
menuItem,SauceBros POS,Side,Ranch,,,Pizza,[],false,71.0,0.99,0.99,70.29,0.0,0.0,0.0,70.29,5.74,0.0,0.0
menuItem,SauceBros POS,Side,Naga Dip,,,Pizza,[],false,19.0,1.99,1.99,37.81,0.0,0.0,0.0,37.81,3.04,0.0,0.0
menuItem,SauceBros POS,Side,Red Peppers Bags 3,,,Pizza,[],false,5.0,0.99,0.99,4.95,0.0,0.0,0.0,4.95,0.41,0.0,0.0
menuItem,SauceBros POS,Side,Parmesan Bags 3,,,Pizza,[],false,4.0,0.99,0.99,3.96,0.0,0.0,0.0,3.96,0.33,0.0,0.0
menuItem,SauceBros POS,Side,Side Olives,,,Pizza,[],false,2.0,0.99,0.99,1.98,0.0,0.0,0.0,1.98,0.16,0.0,0.0
menuItem,SauceBros POS,Side,Side Jalapeno,,,Pizza,[],false,1.0,0.99,0.99,0.99,0.0,0.0,0.0,0.99,0.08,0.0,0.0
menuItem,SauceBros POS,Side,Side Garlic Mayo,,,Pizza,[],false,16.0,0.99,0.99,15.84,0.0,0.0,0.0,15.84,1.29,0.0,0.0
menuItem,SauceBros POS,Side,Marinara Sauce,,,Pizza,[],false,7.0,1.99,1.99,13.93,0.0,0.0,0.0,13.93,1.12,0.0,0.0
"",SauceBros Catering,,,,,,,,15.0,12.00,,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0
"",SauceBros Catering,Pizza,,,,,,,15.0,12.00,,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0
menuItem,SauceBros Catering,Pizza,"14"" Pie",,,Pizza,[],false,15.0,12.00,12.00,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0
"",All Day Menu,,,,,,,,2307.0,17.72,,40873.63,0.0,0.0,60.97,40873.63,3370.90,0.0,0.0
"",All Day Menu,Pizzas,,,,,,,1782.0,21.82,,38883.14,0.0,0.0,60.97,38883.14,3207.55,0.0,0.0
menuItem,All Day Menu,Pizzas,Classic Cheese Pizza,,,,[],false,214.0,18.31,0.50,3919.39,0.0,0.0,0.0,3919.39,323.36,0.0,0.0
menuItem,All Day Menu,Pizzas,Alfredo Cheese Pizza,,,,[],false,19.0,18.62,0.00,353.7,0.0,0.0,16.99,353.7,29.18,0.0,0.0
menuItem,All Day Menu,Pizzas,4Cheez with Hot Honey,,,,[],false,72.0,20.26,0.25,1459.0,0.0,0.0,0.0,1459.0,120.22,0.0,0.0
menuItem,All Day Menu,Pizzas,Naga Habanero Mushroom,,,,[],false,42.0,19.37,0.43,813.49,0.0,0.0,0.0,813.49,66.99,0.0,0.0
menuItem,All Day Menu,Pizzas,Garlic Ghee Mushroom,,,,[],false,71.0,20.08,0.56,1425.92,0.0,0.0,0.0,1425.92,117.51,0.0,0.0
menuItem,All Day Menu,Pizzas,Veggie Pizza,,,,[],false,96.0,19.78,0.48,1898.57,0.0,0.0,0.0,1898.57,156.49,0.0,0.0
menuItem,All Day Menu,Pizzas,Naga Habanero Chicken,,,,[],false,212.0,23.23,0.64,4924.35,0.0,0.0,21.99,4924.35,405.95,0.0,0.0
menuItem,All Day Menu,Pizzas,Alfredo Chicken,,,,[],false,34.0,20.66,0.56,702.54,0.0,0.0,0.0,702.54,58.01,0.0,0.0
menuItem,All Day Menu,Pizzas,Naga Habanero Balachao,,,,[],false,33.0,17.75,0.00,585.64,0.0,0.0,0.0,585.64,48.3,0.0,0.0
menuItem,All Day Menu,Pizzas,Beef Pepperoni,,,,[],false,266.0,20.74,0.31,5517.79,0.0,0.0,0.0,5517.79,455.21,0.0,0.0
menuItem,All Day Menu,Pizzas,Bengali Beef Pesto (Contains Nuts),,,,[],false,137.0,25.24,0.00,3457.4,0.0,0.0,0.0,3457.4,285.41,0.0,0.0
menuItem,All Day Menu,Pizzas,Meatlovers Pizza,,,,[],false,201.0,25.63,1.04,5151.65,0.0,0.0,0.0,5151.65,425.32,0.0,0.0
menuItem,All Day Menu,Pizzas,Customized Pizza,,,,[],false,29.0,24.30,1.76,704.8,0.0,0.0,0.0,704.8,58.18,0.0,0.0
menuItem,All Day Menu,Pizzas,Beef Taco Pizza,,,,[],false,89.0,22.70,0.25,2020.09,0.0,0.0,21.99,2020.09,166.44,0.0,0.0
menuItem,All Day Menu,Pizzas,Harissa Chicken,,,,[],false,109.0,21.96,0.77,2393.76,0.0,0.0,0.0,2393.76,197.5,0.0,0.0
menuItem,All Day Menu,Pizzas,Naga Habanero Paneer,,,,[],false,52.0,21.53,0.44,1119.33,0.0,0.0,0.0,1119.33,92.41,0.0,0.0
menuItem,All Day Menu,Pizzas,Garlic Artichoke,,,,[],false,29.0,19.92,0.00,577.64,0.0,0.0,0.0,577.64,47.7,0.0,0.0
