Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
No Sales Category,,,,16.23,5119,83106.7,0,83106.7,
No Sales Category,Naga Habanero Chicken,,,22.333365406643757,542,12025.89,0,12025.89,
No Sales Category,Naga Habanero Chicken,light cilantro,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Jalapeno,,,15,14.85,0,14.85,
No Sales Category,Naga Habanero Chicken,Pepperoni,,,12,35.88,0,35.88,
No Sales Category,Naga Habanero Chicken,Order Note: Thank you! Best pizza ever <3,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,No cilantro garnish,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: cut into more pieces (need as many slices as possible),,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Little or no cheese please. My mother does not like cheese.,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: We don't want cilantro on anything. Please don't use cilantro in anywhere,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Cilantro,,,2,1.98,0,1.98,
No Sales Category,Naga Habanero Chicken,no cilantro please,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Medium,,,306,0,0,0,
No Sales Category,Naga Habanero Chicken,Hot Honey,,,24,23.76,0,23.76,
No Sales Category,Naga Habanero Chicken,No parmesean,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Onion,,,26,25.74,0,25.74,
No Sales Category,Naga Habanero Chicken,Order Note: My wife Farha (Mahmuda Ahmed) picking up,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: Well done bottom,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: we enjoy your pizza very much!,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Jhura Beef,,,5,14.95,0,14.95,
No Sales Category,Naga Habanero Chicken,No cilantro please,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Cilantro on the side please,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,No Cilantro.,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,No chicken| add pepperoni,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Pls use halal chicken,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,NO CILANTRO PLEASE,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,If it's possible| please only put the cilantro garnish on half of the pizza. Thank you,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: Well done,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Extra sauce please,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Extra well done please,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Hot honey on the side,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Spicy,,,139,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: red pepper please,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Mild,,,97,0,0,0,
No Sales Category,Naga Habanero Chicken,Green Peppers,,,7,6.93,0,6.93,
No Sales Category,Naga Habanero Chicken,Chicken Chunks,,,4,11.96,0,11.96,
No Sales Category,Naga Habanero Chicken,Light cheese,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,light on the cilantro garnish,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,NO CILANTRO. Beef on only one side please.,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Cilantro garnish only on half the pizza,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,no cilantro,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: I’ll tip you upon delivery!,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: Please keep spice level mild,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,light cilantro toppings please.,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Hold the cilantro.,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,No cilantro garnish please| no cilantro garnish.,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: VERY LIGHT Spicy Naga(Habanero) Sauce PLEASE!!,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Order Note: please leave hot honey on the side,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Due to issues in the online ordering system| please make this a Jhura beef pizza,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,16" XLARGE,,,224,5166.29,0,5166.29,
No Sales Category,Naga Habanero Chicken,14" LARGE,,,318,6664.82,0,6664.82,
No Sales Category,Naga Habanero Chicken,Order Note: Doordash Marketplace,,,22,0,0,0,
No Sales Category,Naga Habanero Chicken,Extra Cheese,,,11,21.89,0,21.89,
No Sales Category,Naga Habanero Chicken,VERY LIGHT Spicy Naga(Habanero) Sauce PLEASE!!,,,1,0,0,0,
No Sales Category,Naga Habanero Chicken,Italian Sausage,,,1,2.99,0,2.99,
