Date,Net Sales,Orders,Guests
01/01/2025,0,0,0,
01/02/2025,347.19,11,11,
01/03/2025,871.31,18,18,
01/04/2025,447.15,15,15,
01/05/2025,823.63,25,25,
01/06/2025,0,0,0,
01/07/2025,381.8,12,12,
01/08/2025,144.92,5,5,
01/09/2025,0,0,0,
01/10/2025,584.63,22,22,
01/11/2025,1029.33,24,24,
01/12/2025,498.02,16,16,
01/13/2025,0,0,0,
01/14/2025,263.83,9,9,
01/15/2025,254.84,8,8,
01/16/2025,351.23,9,9,
01/17/2025,1694.03,22,22,
01/18/2025,1056.86,28,28,
01/19/2025,809.01,19,19,
01/20/2025,0,0,0,
01/21/2025,205.9,7,7,
01/22/2025,404.78,13,13,
01/23/2025,499.09,12,12,
01/24/2025,970.88,25,25,
01/25/2025,896.99,24,24,
01/26/2025,468.68,14,14,
01/27/2025,0,0,0,
01/28/2025,109.9,4,4,
01/29/2025,371.75,14,14,
01/30/2025,361.29,15,15,
01/31/2025,858.92,25,25,
02/01/2025,732.63,21,21,
02/02/2025,603.09,17,17,
02/03/2025,0,0,0,
02/04/2025,299.3,8,8,
02/05/2025,226.27,7,7,
02/06/2025,505.7,8,8,
02/07/2025,3551.81,33,33,
02/08/2025,1437.55,37,37,
02/09/2025,1704.07,39,39,
02/10/2025,0,0,0,
02/11/2025,220.4,10,10,
02/12/2025,63.97,2,2,
02/13/2025,943.39,9,9,
02/14/2025,584.3,21,21,
02/15/2025,813.47,22,22,
02/16/2025,540.58,17,17,
02/17/2025,0,0,0,
02/18/2025,95.9,4,4,
02/19/2025,426.23,14,14,
02/20/2025,698.05,18,18,
02/21/2025,2331.92,69,69,
02/22/2025,3426.88,93,93,
02/23/2025,2875.33,80,80,
02/24/2025,0,0,0,
02/25/2025,1437.12,45,45,
02/26/2025,1460.37,44,44,
02/27/2025,1439.04,46,46,
02/28/2025,2469.91,69,69,
03/01/2025,2228.01,69,69,
03/02/2025,1503.58,46,46,
03/03/2025,0,0,0,
03/04/2025,1032.77,36,36,
03/05/2025,820.06,23,23,
03/06/2025,1104.81,28,28,
03/07/2025,2457.61,67,67,
03/08/2025,2383.03,65,65,
03/09/2025,1634.3,44,44,
03/10/2025,0,0,0,
03/11/2025,1506.08,29,29,
03/12/2025,1096.7,30,30,
03/13/2025,956.81,29,29,
03/14/2025,2497.4,66,66,
03/15/2025,2751.4,70,70,
03/16/2025,1956.67,44,44,
03/17/2025,0,0,0,
03/18/2025,754.03,23,23,
03/19/2025,515.67,16,16,
03/20/2025,823.56,21,21,
03/21/2025,1126.31,33,33,
03/22/2025,2181.98,69,69,
03/23/2025,1234.16,38,38,
03/24/2025,0,0,0,
03/25/2025,767.94,28,28,
03/26/2025,951.48,30,30,
03/27/2025,779.96,20,20,
03/28/2025,1972.78,56,56,
03/29/2025,2022.78,61,61,
03/30/2025,1152.7,34,34,
03/31/2025,0,0,0,
04/01/2025,402.75,15,15,
04/02/2025,782.36,24,24,
04/03/2025,825.51,25,25,
04/04/2025,1900.12,56,56,
04/05/2025,2284.7,52,52,
04/06/2025,1118.35,34,34,
04/07/2025,0,0,0,
04/08/2025,823.45,23,23,
04/09/2025,506.66,14,14,
04/10/2025,784.99,24,24,
04/11/2025,1499.06,39,39,
04/12/2025,1919.51,52,52,
04/13/2025,1309.23,32,32,
04/14/2025,0,0,0,
04/15/2025,669.75,24,24,
04/16/2025,458.25,15,15,
04/17/2025,784.62,26,26,
04/18/2025,1158.18,36,36,
