Date,Net Sales,Orders,Guests
01/01/2023,493.2,15,15,
01/02/2023,0,0,0,
01/03/2023,360.74,12,12,
01/04/2023,254.84,9,9,
01/05/2023,405.06,16,16,
01/06/2023,704.41,26,26,
01/07/2023,758.58,23,23,
01/08/2023,561.42,13,13,
01/09/2023,0,0,0,
01/10/2023,409.74,13,13,
01/11/2023,173.59,6,6,
01/12/2023,175.39,7,7,
01/13/2023,798.87,23,23,
01/14/2023,733,21,21,
01/15/2023,594.16,16,16,
01/16/2023,0,0,0,
01/17/2023,342.25,9,9,
01/18/2023,270.52,9,9,
01/19/2023,255.34,9,9,
01/20/2023,570.35,20,20,
01/21/2023,398.74,13,13,
01/22/2023,363.25,11,11,
01/23/2023,0,0,0,
01/24/2023,388.71,13,13,
01/25/2023,153.88,6,6,
01/26/2023,395.78,13,13,
01/27/2023,513.91,19,19,
01/28/2023,513.96,21,21,
01/29/2023,794.2,23,23,
01/30/2023,0,0,0,
01/31/2023,0,0,0,
02/01/2023,0,0,0,
02/02/2023,322.8,12,12,
02/03/2023,981.78,30,30,
02/04/2023,868.83,28,28,
02/05/2023,804.69,26,26,
02/06/2023,0,0,0,
02/07/2023,231.85,7,7,
02/08/2023,302.87,9,9,
02/09/2023,998.06,34,34,
02/10/2023,1005.07,25,25,
02/11/2023,760.39,25,25,
02/12/2023,1292.27,28,28,
02/13/2023,0,0,0,
02/14/2023,527.05,17,17,
02/15/2023,429.84,8,8,
02/16/2023,395.13,12,12,
02/17/2023,1537.27,23,23,
02/18/2023,544.69,19,19,
02/19/2023,443.88,17,17,
02/20/2023,0,0,0,
02/21/2023,386.75,15,15,
02/22/2023,687.7,17,17,
02/23/2023,508.99,21,21,
02/24/2023,1041.35,39,39,
02/25/2023,888.95,25,25,
02/26/2023,605.51,17,17,
02/27/2023,0,0,0,
02/28/2023,571.04,15,15,
03/01/2023,457.13,18,18,
03/02/2023,726.31,25,25,
03/03/2023,904.91,34,34,
03/04/2023,792.66,28,28,
03/05/2023,757.06,22,22,
03/06/2023,0,0,0,
03/07/2023,228.39,9,9,
03/08/2023,652.3,22,22,
03/09/2023,439.58,15,15,
03/10/2023,652.75,21,21,
03/11/2023,1000.26,28,28,
03/12/2023,859.04,22,22,
03/13/2023,0,0,0,
03/14/2023,960.77,25,25,
03/15/2023,425.13,14,14,
03/16/2023,411,16,16,
03/17/2023,966.85,32,32,
03/18/2023,1133.03,29,29,
03/19/2023,915.23,26,26,
03/20/2023,0,0,0,
03/21/2023,459.34,20,20,
03/22/2023,241.17,12,12,
03/23/2023,133.92,5,5,
03/24/2023,463.06,17,17,
03/25/2023,553.67,16,16,
03/26/2023,431.66,15,15,
03/27/2023,0,0,0,
03/28/2023,891.09,18,18,
03/29/2023,357.52,16,16,
03/30/2023,492.15,16,16,
03/31/2023,1481.81,28,28,
04/01/2023,772.69,23,23,
04/02/2023,342.71,10,10,
04/03/2023,0,0,0,
04/04/2023,267.8,9,9,
04/05/2023,282.24,12,12,
04/06/2023,561.56,15,15,
04/07/2023,629,18,18,
04/08/2023,861.3,21,21,
04/09/2023,729.03,23,23,
04/10/2023,0,0,0,
04/11/2023,416.67,9,9,
04/12/2023,536.63,19,19,
04/13/2023,347.21,14,14,
04/14/2023,582.65,19,19,
04/15/2023,791.7,27,27,
04/16/2023,966.9,27,27,
04/17/2023,0,0,0,
04/18/2023,769.5,18,18,
04/19/2023,788.28,30,30,
04/20/2023,559.57,17,17,
04/21/2023,636.15,22,22,
04/22/2023,807.88,19,19,
04/23/2023,706.36,21,21,
04/24/2023,0,0,0,
04/25/2023,317.77,11,11,
04/26/2023,292.53,12,12,
04/27/2023,327.77,12,12,
04/28/2023,976.87,33,33,
04/29/2023,478.67,19,19,
04/30/2023,1185.05,34,34,
05/01/2023,0,0,0,
05/02/2023,379.6,11,11,
05/03/2023,266.35,11,11,
05/04/2023,291.81,10,10,
05/05/2023,663.23,25,25,
05/06/2023,1136.14,47,47,
05/07/2023,676.45,20,20,
05/08/2023,0,0,0,
05/09/2023,348.73,15,15,
05/10/2023,421.21,13,13,
05/11/2023,651.79,23,23,
05/12/2023,1340.07,37,37,
05/13/2023,975.74,31,31,
05/14/2023,703.38,22,22,
05/15/2023,0,0,0,
05/16/2023,326.76,11,11,
05/17/2023,369.67,13,13,
05/18/2023,659.46,23,23,
05/19/2023,454.15,13,13,
05/20/2023,444.74,15,15,
05/21/2023,340.74,13,13,
05/22/2023,0,0,0,
05/23/2023,272.02,8,8,
05/24/2023,411.67,15,15,
05/25/2023,367.76,13,13,
05/26/2023,739.46,22,22,
05/27/2023,780.05,24,24,
05/28/2023,825.45,29,29,
05/29/2023,0,0,0,
05/30/2023,526.61,17,17,
05/31/2023,444.21,15,15,
06/01/2023,736.95,19,19,
06/02/2023,1305.9,45,45,
06/03/2023,832.38,26,26,
06/04/2023,490.15,16,16,
06/05/2023,0,0,0,
06/06/2023,597.18,16,16,
06/07/2023,347.75,10,10,
06/08/2023,412.71,13,13,
06/09/2023,839.47,26,26,
06/10/2023,947.31,30,30,
06/11/2023,590.15,17,17,
06/12/2023,0,0,0,
06/13/2023,295.79,8,8,
06/14/2023,692.34,20,20,
06/15/2023,107.95,5,5,
06/16/2023,780.66,24,24,
06/17/2023,867.8,25,25,
06/18/2023,930.13,25,25,
06/19/2023,0,0,0,
06/20/2023,655.03,24,24,
06/21/2023,517.62,20,20,
06/22/2023,458.63,16,16,
06/23/2023,941.74,29,29,
06/24/2023,589.12,21,21,
06/25/2023,834.47,23,23,
06/26/2023,0,0,0,
06/27/2023,951.48,24,24,
06/28/2023,789.84,21,21,
06/29/2023,655.7,18,18,
06/30/2023,1815.01,53,53,
07/01/2023,1406.43,42,42,
07/02/2023,1031.28,31,31,
07/03/2023,0,0,0,
07/04/2023,669.38,23,23,
07/05/2023,603.03,18,18,
07/06/2023,549.09,16,16,
07/07/2023,1338.55,38,38,
07/08/2023,1307.66,36,36,
07/09/2023,1069.74,29,29,
07/10/2023,0,0,0,
07/11/2023,395.66,14,14,
07/12/2023,377.3,13,13,
07/13/2023,402.24,15,15,
07/14/2023,1399.44,40,40,
07/15/2023,1486.41,43,43,
07/16/2023,1027.37,26,26,
07/17/2023,0,0,0,
07/18/2023,264.33,9,9,
07/19/2023,439.15,16,16,
07/20/2023,297.86,11,11,
07/21/2023,711.52,24,24,
07/22/2023,883.02,22,22,
07/23/2023,997.24,27,27,
07/24/2023,0,0,0,
07/25/2023,675.65,22,22,
07/26/2023,781.45,23,23,
07/27/2023,712.03,17,17,
07/28/2023,812.41,27,27,
07/29/2023,1162.06,34,34,
07/30/2023,1024.12,26,26,
07/31/2023,0,0,0,
08/01/2023,543.56,19,19,
08/02/2023,612.33,21,21,
08/03/2023,546.1,15,15,
08/04/2023,925.24,28,28,
