Date,Net Sales,Orders,Guests
01/01/2024,0,0,0,
01/02/2024,656.12,19,19,
01/03/2024,666.52,17,17,
01/04/2024,373.35,12,12,
01/05/2024,817.98,24,24,
01/06/2024,932.27,28,28,
01/07/2024,709.02,24,24,
01/08/2024,0,0,0,
01/09/2024,312.79,16,16,
01/10/2024,461.23,18,18,
01/11/2024,323.32,10,10,
01/12/2024,1112.3,35,35,
01/13/2024,1203.78,32,32,
01/14/2024,569.07,17,17,
01/15/2024,0,0,0,
01/16/2024,147.88,7,7,
01/17/2024,303.78,10,10,
01/18/2024,327.74,10,10,
01/19/2024,835.5,30,30,
01/20/2024,1286.22,38,38,
01/21/2024,636.11,19,19,
01/22/2024,0,0,0,
01/23/2024,359.27,12,12,
01/24/2024,338.78,10,10,
01/25/2024,555.72,17,17,
01/26/2024,711.91,27,27,
01/27/2024,805.01,22,22,
01/28/2024,805.43,27,27,
01/29/2024,0,0,0,
01/30/2024,375.17,18,18,
01/31/2024,296.76,10,10,
02/01/2024,333.31,11,11,
02/02/2024,872.78,34,34,
02/03/2024,952.89,24,24,
02/04/2024,958.91,28,28,
02/05/2024,0,0,0,
02/06/2024,498.16,16,16,
02/07/2024,410.75,14,14,
02/08/2024,420.66,15,15,
02/09/2024,1394.1,41,41,
02/10/2024,1333.69,34,34,
02/11/2024,2289.74,41,41,
02/12/2024,0,0,0,
02/13/2024,285.76,8,8,
02/14/2024,762.6,23,23,
02/15/2024,537.58,15,15,
02/16/2024,1539.57,50,50,
02/17/2024,1096.52,28,28,
02/18/2024,891.87,29,29,
02/19/2024,0,0,0,
02/20/2024,334.77,13,13,
02/21/2024,410.12,19,19,
02/22/2024,430.18,23,23,
02/23/2024,941.98,30,30,
02/24/2024,864.44,24,24,
02/25/2024,555.11,18,18,
02/26/2024,0,0,0,
02/27/2024,190.84,8,8,
02/28/2024,407.78,13,13,
02/29/2024,422.72,16,16,
03/01/2024,1084.36,29,29,
03/02/2024,1392.56,41,41,
03/03/2024,913.37,32,32,
03/04/2024,0,0,0,
03/05/2024,508.66,16,16,
